"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2021-03-12;1,12322660272391;1,06515302927689;1,18281990864058
"Burgenland";2021-03-13;1,05549911451137;1,00026126770691;1,11220060180757
"Burgenland";2021-03-14;1,05059822419429;0,996222195032236;1,10639877156739
"Burgenland";2021-03-15;1,01968276332852;0,966587070119947;1,07417808725525
"Burgenland";2021-03-16;1,01092551698849;0,958342185150281;1,06489344938267
"Burgenland";2021-03-17;1,00469333841391;0,952415521314276;1,05834821590331
"Burgenland";2021-03-18;1,02754049256469;0,974729573754663;1,08172500149995
"Burgenland";2021-03-19;1,08599130658925;1,03179378238557;1,1415565843499
"Burgenland";2021-03-20;0,990752223504653;0,939382862605549;1,04346978181668
"Burgenland";2021-03-21;0,973823344479377;0,923169883651621;1,02581058937086
"Burgenland";2021-03-22;0,974512535463103;0,9238051343663;1,02655563030904
"Burgenland";2021-03-23;0,998457534234802;0,946943640283064;1,05131658269107
"Burgenland";2021-03-24;0,980599886081071;0,929429390038594;1,03312224449787
"Burgenland";2021-03-25;1,04253163713779;0,989645434104881;1,09677507467095
"Burgenland";2021-03-26;1,06984256957645;1,01632787198253;1,12471098240864
"Burgenland";2021-03-27;1,04136900918496;0,988931616373191;1,09514193035585
"Burgenland";2021-03-28;1,03773651429437;0,985793530208434;1,09099434508115
"Burgenland";2021-03-29;1,02947943642569;0,978068437059242;1,08218874176839
"Burgenland";2021-03-30;1,0191427144549;0,968247918897768;1,07132278005243
"Burgenland";2021-03-31;1,00687168191732;0,956473609738114;1,05854549402754
"Burgenland";2021-04-01;0,969714839112239;0,920371667934708;1,02032830431591
"Burgenland";2021-04-02;0,982148855014909;0,932426875474511;1,03314420811454
